
================================ SCRIPT 4 ================================


Elapsed time (GRF fit):
Time difference of 3.347275 secs
======== Start:  sc64_64_64_sh1_SSNN_u_do0_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.082144, validation loss: 2.129073 , lr= 1e-04
Epoch: 1 out of 1000 , average train loss: 2.342438, validation loss: 2.529304 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.802942, validation loss: 1.90112 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.823873, validation loss: 1.901134 , lr= 1.024e-06
Early stopping at epoch: 229 , average train loss: 1.825191 , validation loss: 1.901151 , lr= 4.096e-07 
Epoch: 1 out of 1000 , average train loss: 2.702665, validation loss: 2.72352 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.837592, validation loss: 1.908602 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.812392, validation loss: 1.899658 , lr= 6.4e-06
Early stopping at epoch: 206 , average train loss: 1.817409 , validation loss: 1.899715 , lr= 1.024e-06 
Epoch: 1 out of 1000 , average train loss: 2.123519, validation loss: 2.124209 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.864588, validation loss: 1.930604 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.839574, validation loss: 1.924894 , lr= 4e-05
Epoch: 300 out of 1000 , average train loss: 1.834609, validation loss: 1.922938 , lr= 1.6e-05
Epoch: 400 out of 1000 , average train loss: 1.834658, validation loss: 1.922254 , lr= 6.4e-06
Epoch: 500 out of 1000 , average train loss: 1.834162, validation loss: 1.921774 , lr= 2.56e-06
Epoch: 600 out of 1000 , average train loss: 1.830015, validation loss: 1.921712 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.838393, validation loss: 1.921675 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.83237, validation loss: 1.921651 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.833585, validation loss: 1.921622 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.835034, validation loss: 1.921598 , lr= 4.096e-07
==== End:  sc64_64_64_64_64_64_sh5_3_3_SSNN_u_do1_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_sh1_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.111012, validation loss: 2.130661 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.879807, validation loss: 1.934886 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.864175, validation loss: 1.915589 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.852338, validation loss: 1.909344 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.846433, validation loss: 1.905655 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.848912, validation loss: 1.905309 , lr= 1.6e-05
Epoch: 600 out of 1000 , average train loss: 1.837462, validation loss: 1.904696 , lr= 1.6e-05
Epoch: 700 out of 1000 , average train loss: 1.834231, validation loss: 1.90455 , lr= 1.024e-06
Epoch: 800 out of 1000 , average train loss: 1.849324, validation loss: 1.904544 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.849313, validation loss: 1.904537 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.849316, validation loss: 1.904538 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.539514, validation loss: 2.429627 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.894531, validation loss: 1.92471 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.867018, validation loss: 1.907715 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.852747, validation loss: 1.903398 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.853999, validation loss: 1.903121 , lr= 6.4e-06
Epoch: 500 out of 1000 , average train loss: 1.840844, validation loss: 1.903062 , lr= 1.024e-06
Epoch: 600 out of 1000 , average train loss: 1.868344, validation loss: 1.903015 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.867462, validation loss: 1.902985 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.843223, validation loss: 1.902969 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.861227, validation loss: 1.902945 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.852469, validation loss: 1.902919 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.389375, validation loss: 2.424493 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.891419, validation loss: 1.950405 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.869741, validation loss: 1.928174 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.862127, validation loss: 1.921896 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.854249, validation loss: 1.920577 , lr= 1.6e-05
Epoch: 500 out of 1000 , average train loss: 1.852093, validation loss: 1.920614 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.855962, validation loss: 1.920602 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.857908, validation loss: 1.920589 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.845124, validation loss: 1.920569 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.863952, validation loss: 1.920559 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.855616, validation loss: 1.920542 , lr= 4.096e-07
==== End:  sc64_64_64_sh1_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_sh1_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.266454, validation loss: 2.288177 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.889867, validation loss: 1.928577 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.858364, validation loss: 1.912495 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.86064, validation loss: 1.909592 , lr= 6.4e-06
Epoch: 400 out of 1000 , average train loss: 1.860419, validation loss: 1.909538 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.863239, validation loss: 1.90952 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.869585, validation loss: 1.909497 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.861085, validation loss: 1.909476 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.84513, validation loss: 1.909459 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.855525, validation loss: 1.909433 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.855694, validation loss: 1.909419 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.294158, validation loss: 2.272316 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.897479, validation loss: 1.937474 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.867443, validation loss: 1.928758 , lr= 4e-05
Epoch: 300 out of 1000 , average train loss: 1.861819, validation loss: 1.926279 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.862619, validation loss: 1.926359 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.866936, validation loss: 1.926359 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.861061, validation loss: 1.926346 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.870807, validation loss: 1.926352 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.87165, validation loss: 1.926358 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.863138, validation loss: 1.926347 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.854691, validation loss: 1.926341 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.211994, validation loss: 2.154429 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.916425, validation loss: 1.93181 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.870496, validation loss: 1.92274 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.870613, validation loss: 1.920485 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.852634, validation loss: 1.921067 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.850897, validation loss: 1.921053 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.860888, validation loss: 1.921049 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.848806, validation loss: 1.921056 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.868696, validation loss: 1.921052 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.848732, validation loss: 1.921069 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.858878, validation loss: 1.921068 , lr= 4.096e-07
==== End:  sc64_64_64_64_sh1_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_64_64_sh1_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.119135, validation loss: 2.138039 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.889435, validation loss: 1.937107 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.875719, validation loss: 1.930162 , lr= 1.6e-05
Epoch: 300 out of 1000 , average train loss: 1.878138, validation loss: 1.930319 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.875109, validation loss: 1.930305 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.871849, validation loss: 1.930301 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.883646, validation loss: 1.930295 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.868601, validation loss: 1.930293 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.8661, validation loss: 1.930289 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.873851, validation loss: 1.930278 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.861355, validation loss: 1.930277 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.217454, validation loss: 2.200247 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.885165, validation loss: 1.894269 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.891338, validation loss: 1.891665 , lr= 6.4e-06
Epoch: 300 out of 1000 , average train loss: 1.873115, validation loss: 1.891335 , lr= 1.024e-06
Epoch: 400 out of 1000 , average train loss: 1.863996, validation loss: 1.891274 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.871092, validation loss: 1.891181 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.864565, validation loss: 1.891133 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.852374, validation loss: 1.891097 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.884253, validation loss: 1.89103 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.878493, validation loss: 1.890982 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.890211, validation loss: 1.890939 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.147901, validation loss: 2.150251 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.912343, validation loss: 1.950064 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.877412, validation loss: 1.937342 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.877538, validation loss: 1.936322 , lr= 1.6e-05
Epoch: 400 out of 1000 , average train loss: 1.869717, validation loss: 1.935767 , lr= 2.56e-06
Epoch: 500 out of 1000 , average train loss: 1.876233, validation loss: 1.935715 , lr= 1.024e-06
Epoch: 600 out of 1000 , average train loss: 1.876968, validation loss: 1.935715 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.875354, validation loss: 1.93571 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.877583, validation loss: 1.935702 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.8696, validation loss: 1.935693 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.874958, validation loss: 1.935687 , lr= 4.096e-07
==== End:  sc64_64_64_64_64_64_sh1_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_sh5_3_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.2186, validation loss: 2.380455 , lr= 1e-04
NaN validation loss at epoch: 65 
NaN validation loss at epoch: 66 
NaN validation loss at epoch: 67 
NaN validation loss at epoch: 68 
NaN validation loss at epoch: 69 
NaN validation loss at epoch: 70 
NaN validation loss at epoch: 71 
NaN validation loss at epoch: 72 
NaN validation loss at epoch: 73 
NaN validation loss at epoch: 74 
NaN validation loss at epoch: 75 
NaN validation loss at epoch: 76 
NaN validation loss at epoch: 77 
NaN validation loss at epoch: 78 
NaN validation loss at epoch: 79 
NaN validation loss at epoch: 80 
NaN validation loss at epoch: 81 
NaN validation loss at epoch: 82 
NaN validation loss at epoch: 83 
NaN validation loss at epoch: 84 
Early stopping at epoch: 84 , average train loss: NaN , validation loss: NaN , lr= 2.56e-06 
Epoch: 1 out of 1000 , average train loss: 2.339263, validation loss: 2.31201 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.896321, validation loss: 1.941339 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.863473, validation loss: 1.908656 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.848259, validation loss: 1.894589 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.836359, validation loss: 1.88806 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.820717, validation loss: 1.884885 , lr= 1e-04
Epoch: 600 out of 1000 , average train loss: 1.810025, validation loss: 1.88271 , lr= 1.6e-05
Epoch: 700 out of 1000 , average train loss: 1.818298, validation loss: 1.882614 , lr= 1.024e-06
Epoch: 800 out of 1000 , average train loss: 1.818963, validation loss: 1.882588 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.821422, validation loss: 1.882573 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.826433, validation loss: 1.882561 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.206211, validation loss: 2.261412 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.888765, validation loss: 1.939012 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.851751, validation loss: 1.914469 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.850102, validation loss: 1.90525 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.838127, validation loss: 1.899844 , lr= 1e-04
Epoch: 500 out of 1000 , average train loss: 1.833735, validation loss: 1.897609 , lr= 1.6e-05
Epoch: 600 out of 1000 , average train loss: 1.817769, validation loss: 1.897229 , lr= 6.4e-06
Epoch: 700 out of 1000 , average train loss: 1.834251, validation loss: 1.897016 , lr= 2.56e-06
Epoch: 800 out of 1000 , average train loss: 1.814002, validation loss: 1.89693 , lr= 2.56e-06
Epoch: 900 out of 1000 , average train loss: 1.815225, validation loss: 1.896842 , lr= 1.024e-06
Epoch: 1000 out of 1000 , average train loss: 1.824103, validation loss: 1.896807 , lr= 4.096e-07
==== End:  sc64_64_64_sh5_3_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_sh5_3_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.705832, validation loss: 2.539264 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.899304, validation loss: 1.905308 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.850082, validation loss: 1.889934 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.849662, validation loss: 1.887757 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.836586, validation loss: 1.88734 , lr= 6.4e-06
Epoch: 500 out of 1000 , average train loss: 1.846789, validation loss: 1.88726 , lr= 1.024e-06
Epoch: 600 out of 1000 , average train loss: 1.841806, validation loss: 1.887263 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.826724, validation loss: 1.887257 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.842319, validation loss: 1.887239 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.83602, validation loss: 1.887231 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.829821, validation loss: 1.887223 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.277067, validation loss: 2.369673 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.890196, validation loss: 1.929449 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.85479, validation loss: 1.913736 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.830935, validation loss: 1.909378 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.830835, validation loss: 1.909587 , lr= 1.024e-06
Epoch: 500 out of 1000 , average train loss: 1.832874, validation loss: 1.909591 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.849892, validation loss: 1.909576 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.850021, validation loss: 1.909557 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.829659, validation loss: 1.909541 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.831028, validation loss: 1.909526 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.827547, validation loss: 1.909527 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.488564, validation loss: 2.515059 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.886793, validation loss: 1.916659 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.840574, validation loss: 1.897538 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.841307, validation loss: 1.891278 , lr= 4e-05
Epoch: 400 out of 1000 , average train loss: 1.834098, validation loss: 1.889623 , lr= 1.6e-05
Epoch: 500 out of 1000 , average train loss: 1.848678, validation loss: 1.889362 , lr= 2.56e-06
Epoch: 600 out of 1000 , average train loss: 1.835846, validation loss: 1.889346 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.835846, validation loss: 1.88934 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.84063, validation loss: 1.889315 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.82385, validation loss: 1.889298 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.833058, validation loss: 1.889299 , lr= 4.096e-07
==== End:  sc64_64_64_64_sh5_3_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_64_64_sh5_3_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.28864, validation loss: 2.256862 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.85069, validation loss: 1.895418 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.843905, validation loss: 1.890854 , lr= 1.6e-05
Epoch: 300 out of 1000 , average train loss: 1.843953, validation loss: 1.891148 , lr= 4.096e-07
Epoch: 400 out of 1000 , average train loss: 1.842605, validation loss: 1.891147 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.835142, validation loss: 1.891138 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.858242, validation loss: 1.891109 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.838032, validation loss: 1.891148 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.832614, validation loss: 1.891184 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.842969, validation loss: 1.891211 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.825574, validation loss: 1.891241 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.450858, validation loss: 2.368973 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.895045, validation loss: 1.905758 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.850535, validation loss: 1.896343 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.837224, validation loss: 1.896324 , lr= 2.56e-06
Epoch: 400 out of 1000 , average train loss: 1.854183, validation loss: 1.896306 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.851412, validation loss: 1.896284 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.84157, validation loss: 1.896276 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.852218, validation loss: 1.896251 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.845832, validation loss: 1.896248 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.843316, validation loss: 1.896232 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.846405, validation loss: 1.896221 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.423566, validation loss: 2.426138 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.867784, validation loss: 1.903378 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.851656, validation loss: 1.892401 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.83872, validation loss: 1.889038 , lr= 6.4e-06
Epoch: 400 out of 1000 , average train loss: 1.837328, validation loss: 1.888772 , lr= 2.56e-06
Epoch: 500 out of 1000 , average train loss: 1.832085, validation loss: 1.888623 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.831459, validation loss: 1.888604 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.832772, validation loss: 1.888595 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.835664, validation loss: 1.888586 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.848545, validation loss: 1.888573 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.840805, validation loss: 1.888565 , lr= 4.096e-07
==== End:  sc64_64_64_64_64_64_sh5_3_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_sh5_3_3_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.242228, validation loss: 2.332919 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.862527, validation loss: 1.925814 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.848263, validation loss: 1.903018 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.829196, validation loss: 1.895301 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.827627, validation loss: 1.893265 , lr= 4e-05
Epoch: 500 out of 1000 , average train loss: 1.834647, validation loss: 1.892399 , lr= 6.4e-06
Epoch: 600 out of 1000 , average train loss: 1.813148, validation loss: 1.892141 , lr= 6.4e-06
Epoch: 700 out of 1000 , average train loss: 1.828603, validation loss: 1.892026 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.814177, validation loss: 1.89202 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.813276, validation loss: 1.892005 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.819452, validation loss: 1.891999 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.015625, validation loss: 2.075901 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.867576, validation loss: 1.922996 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.843488, validation loss: 1.900044 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.836473, validation loss: 1.89095 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.819998, validation loss: 1.887991 , lr= 4e-05
Epoch: 500 out of 1000 , average train loss: 1.814926, validation loss: 1.887589 , lr= 6.4e-06
Epoch: 600 out of 1000 , average train loss: 1.815569, validation loss: 1.887432 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.829707, validation loss: 1.887409 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.816591, validation loss: 1.887387 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.829694, validation loss: 1.887366 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.821082, validation loss: 1.887361 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.126748, validation loss: 2.223204 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.877164, validation loss: 1.922134 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.863639, validation loss: 1.892475 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.827933, validation loss: 1.882353 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.833769, validation loss: 1.877157 , lr= 4e-05
Epoch: 500 out of 1000 , average train loss: 1.811987, validation loss: 1.876397 , lr= 1.6e-05
Epoch: 600 out of 1000 , average train loss: 1.818804, validation loss: 1.87638 , lr= 1.024e-06
Epoch: 700 out of 1000 , average train loss: 1.827224, validation loss: 1.876368 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.810045, validation loss: 1.876344 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.818013, validation loss: 1.876334 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.822259, validation loss: 1.876317 , lr= 4.096e-07
==== End:  sc64_64_64_sh5_3_3_SSNN_u_do2_L20_shp0_lrd4or5  ====
======== Start:  sc64_64_64_64_sh5_3_3_SSNN_u_do2_L20_shp0_lrd4or5  ========
Epoch: 1 out of 1000 , average train loss: 2.330424, validation loss: 2.384264 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.870113, validation loss: 1.923034 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.841212, validation loss: 1.901701 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.819196, validation loss: 1.894322 , lr= 1e-04
Epoch: 400 out of 1000 , average train loss: 1.833948, validation loss: 1.893018 , lr= 6.4e-06
Epoch: 500 out of 1000 , average train loss: 1.812293, validation loss: 1.893034 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.827471, validation loss: 1.893022 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.831255, validation loss: 1.893025 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.834019, validation loss: 1.893018 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.826039, validation loss: 1.893037 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.841563, validation loss: 1.893049 , lr= 4.096e-07
Epoch: 1 out of 1000 , average train loss: 2.322196, validation loss: 2.390168 , lr= 1e-04
Epoch: 100 out of 1000 , average train loss: 1.876443, validation loss: 1.918104 , lr= 1e-04
Epoch: 200 out of 1000 , average train loss: 1.840687, validation loss: 1.900955 , lr= 1e-04
Epoch: 300 out of 1000 , average train loss: 1.829604, validation loss: 1.89851 , lr= 2.56e-06
Epoch: 400 out of 1000 , average train loss: 1.831463, validation loss: 1.898539 , lr= 4.096e-07
Epoch: 500 out of 1000 , average train loss: 1.839622, validation loss: 1.898516 , lr= 4.096e-07
Epoch: 600 out of 1000 , average train loss: 1.840523, validation loss: 1.898514 , lr= 4.096e-07
Epoch: 700 out of 1000 , average train loss: 1.848838, validation loss: 1.898522 , lr= 4.096e-07
Epoch: 800 out of 1000 , average train loss: 1.845729, validation loss: 1.898484 , lr= 4.096e-07
Epoch: 900 out of 1000 , average train loss: 1.830845, validation loss: 1.898479 , lr= 4.096e-07
Epoch: 1000 out of 1000 , average train loss: 1.830073, validation loss: 1.898467 , lr= 4.096e-07
